input_object,required_field,legacy_required_semantics,certified_source,certified_source_field,certified_semantics,availability,legacy_compatible,compatibility_reason,v3_permitted_use
CandidateKey,scenario_id,structural scenario identity,outputs/phase2/final_tournament_readiness_rt001_v3/final_tournament_context_readiness_rt001_v3.csv.gz,scenario_id,certified structural scenario identity,AVAILABLE,true,Semantics agree.,IDENTITY_COMPONENT
CandidateKey,plan_id,globally unique service-plan identity within scenario,outputs/phase2/final_tournament_readiness_rt001_v3/final_tournament_context_readiness_rt001_v3.csv.gz,plan_id,Passenger Utility plan ID is not global across budget envelopes and can map to different exact timetable selections.,AVAILABLE_WITH_COLLISIONS,false,"The V2 `(scenario_id, plan_id)` key collapses budget-qualified exact timetable contexts.",USE_ONLY_WITH_PLAN_CONTEXT_ID_AND_SELECTED_TIMETABLE_ID
CandidateEvaluation,eligible,complete final hard-constraint eligibility,NO_CERTIFIED_SOURCE,,"Exact budget feasibility is certified, but complete current-service non-regression and the full final hard gate are not.",MISSING,false,Partial hard-gate evidence cannot be promoted to final eligibility.,REPORT_COMPONENT_EVIDENCE_ONLY
CandidateEvaluation,median_gjt_improvement_min,median robust demand-weighted GJT improvement,NO_CERTIFIED_SOURCE,,Municipal OD is not spatially allocated to routes/passengers; full_gjt_ready=false.,MISSING,false,No supported candidate-level demand-weighted GJT distribution exists.,PROHIBITED_TO_IMPUTE
CandidateEvaluation,lower_quantile_gjt_improvement_min,lower quantile of robust demand-weighted GJT improvement,NO_CERTIFIED_SOURCE,,No supported candidate-level demand-weighted GJT distribution exists.,MISSING,false,A quantile cannot be calculated without the missing GJT sensitivity results.,PROHIBITED_TO_IMPUTE
CandidateEvaluation,median_missed_connection_probability,median empirical missed-connection probability,outputs/phase2/final_operational_robustness_rt001_v3/final_operational_robustness_rt001_v3_validation.json,delay_sensitivity_is_empirical_probability,false: Stage E is deterministic engineering stress/retention only.,MISSING,false,Deterministic miss counts or retention shares are not probabilities.,ENGINEERING_RETENTION_AS_SEPARATE_PARETO_AXIS_ONLY
CandidateEvaluation,annual_bus_km,one annual production value per V2 candidate identity,outputs/phase2/final_tournament_readiness_rt001_v3/final_tournament_context_readiness_rt001_v3.csv.gz,exact_annual_bus_km,exact selected-timetable production for a budget-qualified plan context,AVAILABLE_CONTEXT_LEVEL,false,The value is certified but the V2 identity can collapse contexts with different exact timetables/production.,EXACT_PARETO_AXIS_WITH_V3_IDENTITY
CandidateEvaluation,public_pattern_complexity,certified public clockface complexity,outputs/phase2/final_tournament_readiness_rt001_v3/final_tournament_context_readiness_rt001_v3.csv.gz,public_route_count,public route count only; not a certified clockface-complexity metric,PROXY_ONLY,false,Route count cannot silently substitute for the documented complexity construct.,REPORT_ROUTE_COUNT_ONLY
CandidateEvaluation,unverified_elements,complete count of unverified candidate elements,outputs/phase2/final_tournament_readiness_rt001_v3/final_tournament_context_readiness_rt001_v3.csv.gz,public_explicit_field_check_pending_count + public_operational_unknown_distance_share_lower_bound,two separate partial evidence-quality dimensions with different units,PARTIAL,false,They cannot be summed into one count without an unsupported rule.,KEEP_AS_SEPARATE_PARETO_AXES
CandidateEvaluation,retained_existing_stops_share,complete existing-stop retention share,outputs/phase2/final_tournament_readiness_rt001_v3/final_tournament_context_readiness_rt001_v3.csv.gz,retained_current_localizable_cluster_share_lower_bound,certified localisable lower bound over 7 clusters; not complete service continuity,LOWER_BOUND_ONLY,false,The V2 field name implies completeness not supported by RT-003 evidence.,LOWER_BOUND_PARETO_AXIS_WITH_LABEL
CandidateEvaluation,n_sensitivity_runs,count of integrated final GJT/probability sensitivity runs,NO_CERTIFIED_SOURCE,,"Stage E has engineering cases and Passenger GJT has a parameter grid, but no integrated final candidate evaluation runs.",MISSING,false,Independent grids cannot be counted as completed final sensitivity runs.,REPORT_GRIDS_SEPARATELY
BudgetEnvelope,annual_bus_km_cap,materialised exact annual bus-km envelope,outputs/phase2/final_tournament_readiness_rt001_v3/final_tournament_budget_envelopes_rt001_v3.csv,annual_bus_km_cap,six exact envelopes retained without normative selection,AVAILABLE,true,Semantics agree when kept as separate frontier partitions.,PARTITION_ONLY_NOT_SELECTED
DecisionContract,decision_budget_km,explicit caller-selected envelope,CALLER_DECLARED,,No value supplied and no default authorised.,PENDING_CALLER_INPUT,true,The legacy requirement is valid but intentionally unsatisfied.,DO_NOT_SELECT
DecisionContract,uncertainty_band_min,explicit finite non-negative practical-equivalence band,CALLER_DECLARED,,No value supplied and no default authorised.,PENDING_CALLER_INPUT,true,The legacy requirement is valid but intentionally unsatisfied.,DO_NOT_SELECT
