repository,pinned_revision,role,language,license,maintenance_evidence,tests_or_ci,algorithm_family,primary_input,primary_output,reusable_for_brianza,main_incompatibility,audit_status
RenatoArbex/TransitNetworkDesign,PIN_PENDING,BENCHMARK_ONLY,data_repository,academic_dataset_terms,"public benchmark repository",NA,"TNDP benchmark instances and published route sets","nodes;links;OD demand","route node sequences;optional frequencies","Mandl/Mumford/Rivera smoke tests;route-set interface","not a production route-generation library;abstract instances",FIRST_PASS
r5py/r5py,eca45579bff083284100076e53e18602aa60307b,ADOPT_OR_CROSS_CHECK,Python+Java,"GPL-3.0-or-later OR MIT","2026-08-03 head updates R5 to v7.6","unit tests;coverage;documentation","multimodal passenger routing/accessibility","OSM PBF;GTFS;GeoDataFrames","travel-time matrices;accessibility","candidate-GTFS door-to-door evaluation;Graph-A cross-check","not a network-design generator;JVM/runtime reproducibility to validate",FIRST_PASS
UTEL-UIUC/gtfs_segments,1bf2a5682400c027bfe0fa404dd59e5014f7ecbc,ADOPT_CANDIDATE,Python,MIT,"2025-05-21 branch head;JOSS package","GitHub Actions tests;documentation","GTFS stop-to-stop segmentation and spacing","GTFS zip","segment table;spacing and route statistics","independent spacing benchmark;full-network segment table","does not generate routes or choose stops",FIRST_PASS
transnetlab/transit-routing,1789109e670a900634cb1a14ec472293b0511dbd,CROSS_CHECK_ONLY,Python,MIT,"2024-05-04 branch head","repository documents complete algorithms","RAPTOR;TBTR;CSA;Transfer Patterns;hyper variants","public-transit timetable network","Pareto journeys by arrival time/transfers","independent passenger-routing semantics and small smoke tests","not network design;less direct multimodal integration than R5",FIRST_PASS
dimichai/mo-tndp,931e36e503261bfefb7898660a2692b6b0b52aeb,BENCHMARK_CONCEPT_ONLY_REJECT_FOR_CORE,Python,LICENSE_PENDING,"2026-06-02 branch head",AUDIT_PENDING,"multi-objective Gymnasium transport network design","grid;OD matrix;group layers","station-placement episodes;vector rewards","fairness/vector-objective and action-mask concepts","grid movement couples route geometry to station placement;station budget;possible random reset",FIRST_PASS
organicmaps/gtfs-osm-matcher,c062de4413aea4cc091bdf65832cf9d4b07c0602,ADAPT_PATTERN,TypeScript,Apache-2.0,"current repository inspected 2026-09-05",AUDIT_BACKEND_PENDING,"GTFS-OSM stop reconciliation/confidence taxonomy","GTFS↔OSM matching results","match classes;conflicts;clusters","existing-stop reconciliation taxonomy","inspected repo is UI;actual matching backend is sibling gtfs-parser and must be traced",FIRST_PASS
CxAalto/gtfspy,PIN_PENDING,CROSS_CHECK_ONLY,Python,MIT,"repository available;older stack",legacy_tests_documented,"GTFS analysis;OSM walking augmentation;CSA-derived accessibility","one or more GTFS feeds;OSM","network stats;Pareto journey/accessibility outputs","reference for OSM walking and CSA validation patterns","README says interfaces not stabilized;older than r5py",FIRST_PASS
AHolliday/transit_learning,39656ba7a570f9efa23aa0c8847db368cf6eeb30,ADAPT_ALGORITHM_REFERENCE,Python+PyTorch,GPL-3.0,"2026-05-28 branch head;2025 peer-reviewed associated paper","tests for heuristics;hyperheuristics;models;simulators;Yen","TNDP route-set generation;John/Nikolic/Husselmann initialization;Yen K-shortest paths;NSGA-II;EA","street adjacency;OD demand;route-count and route-length constraints","multi-node route sequences;Pareto route sets","candidate-route-pool design;Yen path generation;route mutation/repair ideas;Mandl/Mumford benchmark implementation","stochastic tie-breaks/crossover/mutation;some scalar cost weights;GPL copying implications;stop node and route node remain coupled",DEEP_FIRST_PASS
pysal/spopt,493a58aa99134b6abecf8d37479fbee01a46e820,ADOPT_CANDIDATE,Python,BSD-3-Clause,"2026-07-07 branch head;active PySAL project;JOSS","CI;codecov;tests;documentation","facility location including p-median and maximal covering","origin-destination cost matrix;demand weights;candidate facilities","selected facilities;client assignments;weighted travel cost","existing-stop subset optimization on a fixed corridor using network walking-time matrix;predefined mandatory facilities supported","not transit-specific;dwell-time and municipality-policy constraints require wrapper/extension",DEEP_FIRST_PASS
networkx/networkx,0db8227000872d7a9f6ce84c54ba1e5e99429122,ADOPT_PRIMITIVE_WITH_ADAPTATION,Python,BSD-3-Clause,"2026-09-03 inspected main head","extensive upstream tests including shortest_simple_paths","Yen K-shortest loopless paths via shortest_simple_paths","Graph or DiGraph with edge weight","ordered simple paths","mature deterministic Yen primitive and tested shortest-path foundation","shortest_simple_paths is not implemented for MultiGraph/MultiDiGraph and does not natively encode Phase-2 incoming-way turn-restriction state; direct use on simplified road nodes would be invalid",DEEP_FIRST_PASS
KAMI911/GTFS2OSM,PIN_PENDING,AUDIT_QUEUE,Python,GPL-3.0,WEB_DISCOVERY_ONLY,AUDIT_PENDING,"GTFS-OSM stop conflation","GTFS;OSM","joined stop datasets","possible stop matching implementation","maturity and current compatibility not yet inspected",DISCOVERED
passengerteam/bus-stop-checker,PIN_PENDING,AUDIT_QUEUE,JavaScript,LICENSE_PENDING,WEB_DISCOVERY_ONLY,AUDIT_PENDING,"stop-to-road plausibility via nearest road and bearings","OSM + NaPTAN-style stop points","stop confidence/plausibility evidence","pattern for road side/bearing plausibility checks","UK-specific source model;needs code audit",DISCOVERED
