constraint_id,network_scope,location,constraint_type,value,unit,effective_interpretation,source_authority,source_url,source_date,epistemic_status,gate_d_treatment
BRIVIO_BRIDGE_POSTWORKS_44T,STRUCTURAL_FUTURE,SS342 Ponte di Brivio km 20+770,max_mass,44,t,"ANAS states that after the 2026-2027 structural works the bridge will have a maximum capacity of 44 t; temporary 2026 closure and 7.5 t restriction are excluded from structural candidate routing",Prefettura di Lecco / ANAS,https://prefettura.interno.gov.it/it/prefetture/lecco/notizie/strada-statale-n-342-briantea-ponte-brivio-km-20770-0,2026-04-15,FACT_FUTURE_DESIGN_CONSTRAINT,"Use 44 t as post-works structural mass constraint; do not use temporary closure/detour in candidate comparison"
OLGIATE_CALCO_RAIL_OVERPASS_33T,STRUCTURAL_CURRENT,"SP ex SS342 pk 26+500 to 26+800, Olgiate Molgora-Calco",max_mass,33,t,"Official order applies from 13 November until subsequent revocation",Provincia di Lecco,https://www.provincia.lecco.it/documento/58-sp-ex-ss-342-limitazioni-sul-sovrappasso-ferroviario-tra-olgiate-molgora-e-calco/,2019-11-13,FACT_OFFICIAL_ORDER_CURRENT_VALIDITY_TO_REVERIFY,"Respect 33 t in structural feasibility; recheck for revocation before final operational design"
OLGIATE_CALCO_RAIL_OVERPASS_30KMH,STRUCTURAL_CURRENT,"SP ex SS342 pk 26+500 to 26+800, Olgiate Molgora-Calco",max_speed,30,km/h,"Official order applies from 13 November until subsequent revocation",Provincia di Lecco,https://www.provincia.lecco.it/documento/58-sp-ex-ss-342-limitazioni-sul-sovrappasso-ferroviario-tra-olgiate-molgora-e-calco/,2019-11-13,FACT_OFFICIAL_ORDER_CURRENT_VALIDITY_TO_REVERIFY,"Use as road constraint; model running time remains MODEL_OUTPUT rather than observed travel time"
MONDONICO_SCHOOLBUS_CONTEXT,STRUCTURAL_CURRENT,Mondonico,municipal_bus_access_context,,,"The Comune di Olgiate Molgora explicitly cites Mondonico's location and altitude as part of the need for seven school-bus lines in the 2024/25 school plan; this supports motor-bus access to the locality but does not establish full-size swept-path clearance on every candidate segment",Comune di Olgiate Molgora,https://olgiate-molgora-api.municipiumapp.it/s3/4729/allegati/informatore-olgiate-molgora-dicembre-2024-bozza-05.pdf,2024-12,SUPPORTING_OPERATIONAL_EVIDENCE,"Upgrade locality-level bus-access evidence; keep exact Via Mondonico width/meeting/swept-path as an operational-design check rather than inventing a width"
MONDONICO_DIMENSIONAL_SUITABILITY,STRUCTURAL_CURRENT,Via Mondonico,physical_bus_clearance,,,"OSM confirms motor-vehicle-accessible road geometry; public municipal evidence supports school-bus service to the Mondonico area, but no authoritative lane width or swept-path survey was found",Comune di Olgiate Molgora / OpenStreetMap contributors,https://olgiate-molgora-api.municipiumapp.it/s3/4729/allegati/informatore-olgiate-molgora-dicembre-2024-bozza-05.pdf,2024-12,ESTIMATE_OPERATIONAL_SUPPORT_WITH_UNRESOLVED_CLEARANCE,"Route may remain in the structurally routable candidate set; do not claim a specific full-size vehicle envelope until width/meeting/swept-path is surveyed"
MONDONICO_SEASONAL_ACCESS_MANAGEMENT,STRUCTURAL_CURRENT,Mondonico,seasonal_access_management,,,"Parco di Montevecchia documents seasonal traffic closures in Mondonico with exemptions for service, police, rescue, residents and destination access; this is an operating-policy issue rather than a permanent road-network disconnection",Parco Regionale di Montevecchia e Valle del Curone,https://www.parcocurone.it/fruizione/navette.html,,FACT_PUBLIC_ACCESS_MANAGEMENT,"Do not remove Mondonico from the structural graph; any future scheduled bus would require the applicable authorization/traffic-order treatment during restricted periods"
CALCO_SUPERIORE_PUBLIC_ROAD_CLASSIFICATION,STRUCTURAL_CURRENT,Località Calco Superiore,municipal_public_road_classification,,,"Comune di Calco lists Località Calco Superiore in the official municipal-road area classification; the classification is evidence of public-road status, not a bus-width standard",Comune di Calco,https://comune.calco.lc.it/wp-content/uploads/2025/04/Regolamento-per-lapplicazione-del-canone-patrimoniale-di-concessione-autorizzazione-o-esposizione-pubblicitaria-CANONE-UNICO-del-27.03.2023.pdf,2023-03-27,FACT_MUNICIPAL_DOCUMENT,"Use as corroboration for the OSM named-road sensitivity anchor; do not infer lane width from the fiscal road category"
CALCO_SUPERIORE_NAVETTA_EVIDENCE,STRUCTURAL_HISTORICAL,Calco Superiore / Vescogna,motor_shuttle_access,,,"Comune-organized navetta service transported visitors from Calco Inferiore to upper-Calco villas; this demonstrates motor-shuttle access but does not prove compatibility with every standard 12 m bus",Comune di Calco reported by Merateonline,https://www.merateonline.it/notizie/70813/calco-il-25-e-26-si-raggiungono-le-ville-in-navetta-aprono-le-porte-per-la-giornata-fai,2017-03,SUPPORTING_OPERATIONAL_EVIDENCE,"Keep Calco Superiore as sensitivity; combine with DSM grade audit and require vehicle-class swept-path confirmation before operational design"
CALCO_SUPERIORE_STEEP_ACCESS,STRUCTURAL_CURRENT,Via Ghislanzoni / access to Calco Superiore,terrain_and_geometry_caution,,,"Comune di Calco describes the historic lower-to-upper connection as steep and narrow and identifies Via Ghislanzoni as the replacement access; current candidate grade is quantified separately from the validated Copernicus DSM",Comune di Calco,https://comune.calco.lc.it/vivere-il-comune/cartelli-storici/salita-della-selvetta/,2023-03-21,FACT_CONTEXT_PLUS_DERIVED_DSM_REQUIRED,"Do not translate historical wording into a numeric grade; use Gate B DEM-derived candidate profile and keep a vehicle-clearance check"
SAN_ZENO_OPERATIONAL_SUITABILITY,STRUCTURAL_CURRENT,Piazza San Zeno / Via San Zenone,turning_and_oneway,,,"OSM contains one-way segments and no official GTFS stop evidence in San Zeno",OpenStreetMap contributors / Gate D audit,,2026-09-03,UNRESOLVED_SENSITIVITY_ONLY,"Keep San Zeno as sensitivity candidate only; no recommendation or feasibility claim"
