requirement_id,requirement,certified_source,certified_evidence_semantics,global_state,legacy_v2_state,v3_deterministic_state,engineering_work_authorized_now,human_action_required,notes
DATA-001,Complete current-service non-regression / fair candidate-vs-current ordering,Current Service Access Baseline V3,True total current coverage remains unknown; unresolved current stops cannot promote or reject candidates,OPEN_DATA_EVIDENCE,OPEN_DATA_EVIDENCE,NOT_REQUIRED_UNDER_V3_CONTRACT,false,false,A V3 decision may proceed only if the selected semantics keep current-service evidence explicitly lower-bound and make no true non-regression claim.
DATA-002,Full candidate-level demand-weighted GJT improvement,Certified tournament readiness + legacy contract audit,full_demand_weighted_gjt_available=false; municipal OD has no authorized route/passenger spatial allocation,OPEN_DATA_EVIDENCE,OPEN_DATA_EVIDENCE,NOT_REQUIRED_UNDER_V3_CONTRACT,false,false,Do not create a point GJT estimate or route-level demand by proxy.
DATA-003,Empirical missed-connection probability,Stage E/Stage F + certified tournament readiness,Deterministic engineering retention exists; an empirical missed-connection probability does not,OPEN_DATA_EVIDENCE,OPEN_DATA_EVIDENCE,NOT_REQUIRED_UNDER_V3_CONTRACT,false,false,Do not assign empirical probability mass to engineering stress cases.
DATA-004,Route-level demand-weight perturbation sensitivity,Stage F certified limitations + tournament readiness,No authorized route-level demand attribution exists from municipal OD,OPEN_DATA_EVIDENCE,OPEN_DATA_EVIDENCE,NOT_REQUIRED_UNDER_V3_CONTRACT,false,false,Stage F engineering sensitivity is complete without inventing demand perturbations.
EVID-001,RT001 lossless exact timetable lineage and independent Stage-D convergence,Stage E RT001 V3 + Stage-D cross-audit lineage,"6,000 exact timetables over 16,495 exact-budget contexts with cross-implementation audit PASS",CLOSED,CLOSED,CLOSED,false,false,No further Stage-D rebuild is required unless a certified lineage contradiction appears.
EVID-002,Final-lineage Stage E planned-connection and vehicle-block robustness,Stage E RT001 V3,Deterministic engineering robustness with frozen planned targets; not empirical probability,CLOSED,CLOSED,CLOSED,false,false,Do not reinterpret Stage E as a probability model.
EVID-003,Legacy-vs-RT001 Stage E semantic regression audit,A Stage E OLD-vs-NEW audit,Zero unexplained comparable robustness or block mismatches; out-of-span correction explicitly isolated,CLOSED,CLOSED,CLOSED,false,false,The corrected passenger-return rule does not require another rerun.
EVID-004,Tournament-readiness semantics and non-decisional Pareto safety,Codex readiness/contract audit + A red-team,No fabricated GJT/probability; descriptive Pareto membership cannot authorize pruning,CLOSED,CLOSED,CLOSED,false,false,"All 16,495 contexts remain preserved until a separately authorized final decision."
EVID-005,Stage F deterministic engineering sensitivity surface,Stage F Engineering Sensitivity RT001 V3,"81 deterministic cases per exact timetable over runtime 0.9/1.0/1.1, dwell 0/0.5/1.0 and rail shift -5/0/+5; recovery 5/10/15 block sensitivity",CLOSED,CLOSED,CLOSED,false,false,Closes engineering sensitivity only; it creates neither passenger probabilities nor demand weights.
EVID-006,Certified current-service localisable access reference,Current Service Access Baseline V3,"15/51 official D184/D185 rows localized, 36 unresolved; certified localisable access lower bound only",CLOSED_WITH_CERTIFIED_BOUND,CLOSED_WITH_CERTIFIED_BOUND,CLOSED_WITH_CERTIFIED_BOUND,false,false,The artifact is complete as a certified lower bound and must never be relabeled as complete current service.
HUMAN-001,Select final decision semantics pathway,This closure-gate contract,Choose legacy full-evidence semantics or explicitly authorize V3 certified-metrics deterministic-robustness semantics,HUMAN_DECISION_REQUIRED,HUMAN_DECISION_REQUIRED,HUMAN_DECISION_REQUIRED,false,true,"Selecting V3 accepts that the recommendation will not claim full demand-weighted GJT, empirical missed probability or complete-current-service non-regression."
HUMAN-002,Select decision annual bus-km envelope,Six exact materialized budget envelopes,Normative caller choice; no implicit largest/default budget is authorized,HUMAN_DECISION_REQUIRED,HUMAN_DECISION_REQUIRED,HUMAN_DECISION_REQUIRED,false,true,Must match one of the six certified exact annual bus-km envelopes.
HUMAN-003,Select uncertainty-band semantics/value if retained in the final Decision Contract,Decision Contract boundary,Caller-declared finite non-negative policy input; no default authorized,HUMAN_DECISION_REQUIRED,HUMAN_DECISION_REQUIRED,HUMAN_DECISION_REQUIRED,false,true,The gate does not choose or infer a tolerance.
HUMAN-004,Specify a normative no-weight decision rule over the V3 trade-off set,V3 non-decisional Pareto contract,"Pareto non-dominance exposes trade-offs but does not rank, shortlist or recommend",HUMAN_DECISION_REQUIRED,NOT_REQUIRED_UNDER_V3_CONTRACT,HUMAN_DECISION_REQUIRED,false,true,"If V3 is chosen, supply an explicit policy/lexicographic rule; implementation must not invent hidden weights."
NREQ-001,Pre-select one recovery value before final network decision,Stage E/Stage F sensitivity semantics,Recovery 5/10/15 is an engineering sensitivity dimension and is intentionally not selected,NOT_REQUIRED_UNDER_V3_CONTRACT,NOT_REQUIRED_UNDER_V3_CONTRACT,NOT_REQUIRED_UNDER_V3_CONTRACT,false,false,Recovery may be chosen later as an operational implementation parameter.
NREQ-002,"Prune the 4,211 descriptive Pareto-nonfrontier contexts",A Codex Tournament Readiness Red-Team,nonfrontier_pruning_authorized=false; lower-bound axes do not establish latent true-system dominance,NOT_REQUIRED_UNDER_V3_CONTRACT,NOT_REQUIRED_UNDER_V3_CONTRACT,NOT_REQUIRED_UNDER_V3_CONTRACT,false,false,"Preserve all 16,495 contexts until a separately certified final decision contract authorizes elimination."
