resolution_id,area,observed_label,operator_code,latitude,longitude,identity_level,resolution,evidence_status,notes
USRRES001,Olgiate Molgora,Via Statale,OLGMOA04,45.72864728792405,9.4004131048277,BOARDING_POINT,OLGIATE_VIA_STATALE_NOT_CALCO,"USER_MANUAL_GOOGLE_MAPS_PLUS_ASF_CODE","Some interfaces may label it generically or as Calco; exact polygon municipality is Olgiate Molgora. Keep municipality geometry-based."
USRRES002,Calco,Calco - Via Nazionale (edicola),CALCOA06,45.72393799996407,9.415252465357927,BOARDING_POINT,"SAME_OPERATOR_CODE_AS_ASF_LARGO_POMEA_ALIAS","USER_MANUAL_GOOGLE_MAPS_PLUS_ASF_ENGINE","Google Maps label Via Nazionale (edicola) and ASF route-level label Largo Pomea refer to code CALCOA06 at effectively same geometry. Treat as naming alias, not a separate stop from CALCOA06."
USRRES003,Calco,Calco - Via Statale/Via Scagnello (Esselunga),CALCOR04,45.71691647047958,9.40827705210095,BOARDING_POINT,DIRECTIONAL_SIDE_1_OF_ONE_STOP_PLACE,"USER_MANUAL_GOOGLE_MAPS_STOP_ID","One passenger-facing stop place with two directional boarding points. User reports multiple labels across Maps."
USRRES004,Calco,Calco - Via Statale/Via Scagnello (Esselunga),CALCOR04,45.71682017362495,9.408055828737293,BOARDING_POINT,DIRECTIONAL_SIDE_2_OF_ONE_STOP_PLACE,"USER_MANUAL_GOOGLE_MAPS_STOP_ID","Second directional boarding point. Exact opposite-side operator code still requires code-level confirmation if distinct from CALCOR04."
USRRES005,Brivio,Brivio - via Como (pizzeria),BRIVIA03,45.74240335081691,9.439461677958459,BOARDING_POINT,"BAR_CRISTALLO_PIZZERIA_ALIAS_ONE_DIRECTION","USER_MANUAL_GOOGLE_MAPS_PLUS_ASF_CODE","User confirms two physical directional stops at this stop place; BRIVIA03 is one side."
USRRES006,Brivio,Brivio,BRIVIR06,45.74243406112051,9.445898773323027,BOARDING_POINT,"CURRENT_ASF_CENTRAL_BRIVIO_BOARDING_POINT","USER_MANUAL_GOOGLE_MAPS_PLUS_ASF_CODE","Current Google Maps Brivio point. Operator label Via Como - Pensilina is geographically reused here during current service pattern."
USRRES007,Brivio,Brivio - Via V. Emanuele (Capolinea),,45.74242767371008,9.445819057545727,BOARDING_POINT,"SAME_PHYSICAL_BOARDING_AREA_AS_BRIVIR06","USER_MANUAL_GOOGLE_MAPS","~6 m from BRIVIR06; likely cross-operator/source alias of same boarding area, not the separate Via Bergamo/Scuola Materna point."
USRRES008,Brivio,Brivio - Via Bergamo (Scuola Materna),,45.74133026586209,9.445699239645878,BOARDING_POINT,"SEPARATE_BRIVIO_BOARDING_POINT_MATCHES_FROZEN_GTFS_300063","USER_MANUAL_GOOGLE_MAPS_PLUS_SPATIAL_MATCH","~0.3 m from frozen GTFS 300063 Brivio - capolinea. This resolves the prior same-name collision: 300063 and L00063 are not one stop place/boarding point."
USRRES009,Santa Maria Hoe,Via Giovanni XXIII / Tremonte-Via Leopardi,SAMAHA04|SAMAHR04,45.74120,9.38030,STOP_PLACE,"ONE_STOP_PLACE_TWO_DIRECTIONAL_BOARDING_POINTS","USER_MANUAL_GOOGLE_MAPS_PLUS_ASF_ENGINE","User confirms same passenger-facing stop place; A/R geometries are ~47.5 m apart and eastern side is labelled Tremonte/Via Leopardi in Arriva/Maps. Preserve two boarding points."
USRRES010,Santa Maria Hoe,Rovagnate - Frazione Alduno,ROVAGA04,45.73469476700863,9.382560390111076,BOARDING_POINT,"ALDUNO_DIRECTIONAL_SIDE_1_SANTA_MARIA_HOE","USER_MANUAL_GOOGLE_MAPS_PLUS_ASF_CODE","Alduno is a frazione of Santa Maria Hoe despite ASF Rovagnate prefix. Exact municipality remains polygon-based."
USRRES011,Santa Maria Hoe,Rovagnate - Frazione Alduno,ROVAGAR4,45.73501168706144,9.382233480203531,BOARDING_POINT,"ALDUNO_DIRECTIONAL_SIDE_2_SANTA_MARIA_HOE","USER_MANUAL_GOOGLE_MAPS_PLUS_ASF_CODE","Same stop place as opposite side, separate directional boarding point. Preserve operator typo code ROVAGAR4 verbatim."
