source_alias_group_id,source_alias_group_status,source_alias_group_epistemic_status,source_records,source_families
SAG_FROZEN_XFEED::00086,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00087,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00089,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00398,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00406,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00487,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00527,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00528,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00728,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00729,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00782,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00803,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00804,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00872,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00873,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00879,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00886,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_FROZEN_XFEED::00902,DERIVED_STRONG_CROSS_FEED_SOURCE_ALIAS_GROUP,DERIVED,2,FROZEN_GTFS_REFERENCE
SAG_SINGLE::ASF_OPERATOR_OTP::BRIVIA03,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::BRIVIA04,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::BRIVIA05,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::BRIVIR03,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::BRIVIR04,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::BRIVIR05,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::BRIVIR06,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOA05,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOA06,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOA07,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
