crosswalk_id,evidence_id,line_id,timetable_stop_name,target_operator_named_stop_place_id,target_source_records,stop_place_decision,boarding_point_decision,epistemic_status,evidence_basis,notes
AXW001,AR184_001,D184,OLGIATE MOLGORA FS,,FROZEN_GTFS::300407|FROZEN_GTFS::L00407,SAME_STOP_PLACE_CONFIRMED,BOARDING_GEOMETRY_RESOLVED_TO_L00407_AREA_SOURCE_300407_COORDINATE_CONFLICT,DERIVED,"Exact station identity plus previously audited source-coordinate conflict SPREV001","Do not treat displaced 300407 coordinate as a second station."
AXW002,AR184_002,D184,OLGIATE MOLGORA Scarpone,SP_ASF::OLGIATE_MOLGORA::OLGIATE_MOLGORA_SCARPONE,ASF_OTP::OLGMOA05|ASF_OTP::OLGMOR05|FROZEN_GTFS::300803|FROZEN_GTFS::L00803,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,"Official Arriva Scarpone timing point; official ASF same stop name; frozen Monticello Scarpone points within ~4-30 m","Keep ASF A/R records distinct."
AXW003,AR184_003,D184,S.MARIA HOE' Alduno,SP_ASF::SANTA_MARIA_HOE::ROVAGNATE_FRAZIONE_ALDUNO,ASF_OTP::ROVAGA04|ASF_OTP::ROVAGAR4|FROZEN_GTFS::300871|FROZEN_GTFS::L00871,SAME_STOP_PLACE_CONFIRMED,TWO_DIRECTIONAL_BOARDING_POINTS_CONFIRMED_SIDE_ALIAS_UNRESOLVED,DERIVED,"Official Arriva Alduno; official ASF Frazione Alduno; prior Maps/ASF review SPREV003","Exact municipality is Santa Maria Hoè despite ASF Rovagnate prefix."
AXW004,AR184_004,D184,ROVAGNATE SS342/Via Lombardia,SP_ASF::LA_VALLETTA_BRIANZA::ROVAGNATE_SS_ANG_V_LOMBARDIA,ASF_OTP::ROVAGA01|ASF_OTP::ROVAGR01|FROZEN_GTFS::300878|FROZEN_GTFS::L00878,SAME_STOP_PLACE_STRONG,TWO_DIRECTIONAL_BOARDING_POINTS_LIKELY_SIDE_ALIAS_UNRESOLVED,DERIVED,"Official Arriva Via Lombardia timing point; official ASF same named junction; frozen Semaforo geometry aligns directionally","Do not merge directional records by distance."
AXW005,AR184_005,D184,PEREGO SS342/Via S. Caterina,SP_ASF::LA_VALLETTA_BRIANZA::PEREGO_VIA_STATALE_79,ASF_OTP::PERE_A01|ASF_OTP::PERE_R01|FROZEN_GTFS::300872|FROZEN_GTFS::L00872,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,"Official Arriva Via S. Caterina timing point; ASF Via Statale 79; frozen same Via S.Caterina coordinates within ~3-26 m","Passenger place crosswalk is strong; side mapping remains unresolved."
AXW006,AR184_006,D184,S. MARIA HOE' Alpino Via Como,SP_ASF::SANTA_MARIA_HOE::SANTA_MARIA_HOE_VIA_COMO,ASF_OTP::SAMAHA01|ASF_OTP::SAMAHR01|FROZEN_GTFS::300902|FROZEN_GTFS::L00902,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,"Official Arriva Alpino Via Como; ASF Via Como; frozen Alpino points colocated in same area","Do not collapse ASF A/R."
AXW007,AR184_007,D184,S. MARIA HOE' Tremonte incrocio via Leopardi,,FROZEN_GTFS::300903,SAME_STOP_PLACE_STRONG,SINGLE_FROZEN_COORDINATE_CURRENT_SIDE_STRUCTURE_UNRESOLVED,DERIVED,"Future official timing point nearly exact legacy frozen name Tremonte/via Leopardi","Published service continuity supports stop-place identity, not physical side completeness."
AXW008,AR184_008,D184,S. MARIA HOE centro,,FROZEN_GTFS::300207|FROZEN_GTFS::L00207,UNRESOLVED_HISTORICAL_PLACE_CROSSWALK,UNRESOLVED,UNRESOLVED,"Potential relation to frozen S.Maria Hoe' - paese but SPREV002 remains unresolved and the two frozen records are ~59 m apart","Do not equate Centro and Paese without operator/physical confirmation."
AXW009,AR184_009,D184,HOE',,FROZEN_GTFS::300873|FROZEN_GTFS::L00873,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,"Official Arriva HOE' timing point and exact frozen HOE' naming","Frozen paired records are close but remain source records until physical side evidence is resolved."
AXW010,AR148_001,D148,S. MARIA HOE' (Alpino),SP_ASF::SANTA_MARIA_HOE::SANTA_MARIA_HOE_VIA_COMO,ASF_OTP::SAMAHA01|ASF_OTP::SAMAHR01|FROZEN_GTFS::300902|FROZEN_GTFS::L00902,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,"D148 Alpino and D184 Alpino Via Como converge on same frozen/ASF location","Stop-place level only."
AXW011,AR148_002,D148,S. MARIA HOE' Tre Strade,,,OFFICIAL_STOP_PLACE_COORDINATE_UNRESOLVED,UNRESOLVED,FACT,"Official D148 timing point persists across multiple winter editions; local sources place Tre Strade along Via Papa Giovanni XXIII/SP58 corridor","No coordinate-bearing master record has yet been positively identified as this stop. Do not infer SAMAHA03/SAMAHR03 solely from corridor geography."
AXW012,AR148_003,D148,OLGIATE MOLGORA Via Statale,SP_ASF::OLGIATE_MOLGORA::OLGIATE_MOLGORA_VIA_STATALE,ASF_OTP::OLGMOA04|ASF_OTP::OLGMOR04|FROZEN_GTFS::300728|FROZEN_GTFS::L00728,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,"Exact current ASF name plus future Arriva name; frozen exact-name coordinates within ~5-9 m of ASF","Keep A/R source records distinct."
AXW013,AR148_004,D148,CALCO Località Cornello,,,OFFICIAL_STOP_PLACE_COORDINATE_UNRESOLVED,UNRESOLVED,FACT,"Official D148 timing point persists in 2023/24, 2024/25, 2025/26 and published 2026/27 timetables","Località Cornello is geographically real in Calco, but no coordinate-bearing stop source is yet positively crosswalked."
